studentid,comp_name,position,salary
cd69ee828801f8481e2baf0c4a39b0a3,พันธ์ปลาสลิด,ขายพันธ์ปลาสลิด,15,000
66e34e940016abecb0bddc60cbda2e0a,,เรียนวิศวะแต่เป็นนักแสดง,
b624b913626cd73d70737b446c0aa97c,-,คนละเรื่องกันเลย,
299851de6d13c24f9c3f0cafc8ed91dc,กรุงไทย-แอกซ่า ประกันชีวิต จำกัด (มหาชน),เรียนปฐพีเกี่ยวกับดิน แต่ได้งานทำเป็นตัวแทนประกันช,15,000-20,000
21d6b6e435d54f5de82b0c84ed501f88,,การจัดการโลจิสติก,13,000
222404368cff237b7023bdefb2b5ff41,เคเอช พร็อพเพอร์ซี่ จำกัด,ทำเกี่ยวกับการล้างภาชนะ ใช้แรงงาน,
c6fd59254b59a7a1996c523f69a46cc2,กรมชลประทาน,ทำรอวุฒิการศึกษา,18000
5ed2222648f9dfadab841fb414ccbfac,Zakextreme,ทำงานบริหารจัดการ,ไม่สะดวกระบุ
e5be6ee6ed4da467413b156e366831b6,ร้านแก้วเครื่องเขียน,ทำค่าขาย,15000
31368fa8af29c8e33675f3f3a34c786c,,เรียนวิทยาศาสตร์ แต่มาทำร้านอาหาร เป็นผู้ช่วยเชฟแล,ึ70,000
6fce54a4d0df012b70ea5e9d02b0a8db,อลิอันซ์อยุธยา,งานขายคนละแบบ,13,500
396008be6472cc7d0011dfd347e56d7d,โรงพยาบาลศิริราช,เป็นงานที่เกี่ยวกับการประสานงานภายในองค์กร,20090
b5d214803340604301bc3176088650e0,,ตรงกับนิเทศศาสตร์,10000
07c42fc12971763248747bf6883fc016,Mu Space and Advanced Technologies Co.,Ltd,work with electronics discipline,25000
e58ab81e9a616675b0b257d3b558e851,CPF IT CENTER CO.,LTD.,มีส่วนใกล้เคียงและนำความรู้จากสาขาไปใช้ประโยชน์ได้,28000
c832217b7af1c223f3ea2c9991ec438e,CPF IT Center Co.,Ltd,ทำเกี่ยวกับ IT,28000
1a6de65f821c78aec88aac01f94ef213,บริษัท อะไรส์ บาย อินฟินิธัส จำกัด,สาขาวิศวกรรมคอมพิวเตอร์  ,-
44831fd28a760c2fb7733f1350698e7e,,ไม่มีในรายวิชาที่สอน,25000-30000
bfe7e2e09ac76b05a279b0ec3cbc8125,ทีเอฟพี อินดัสเตรียล จำกัด,ทำด้าน Automotive,20000
1907ef06eb0385ec497c29a79243e70f,QTEC TECHNOLOGY ,เป็นการนำความรู้ไปประยุกต์,18000
407834fbe25865c9a3080969f04cf027,บริษัท โกเบ อิเลคทรอนิคส์ แมททีเรียล (ไทยแลนด์) จำกัด,งานที่ได้ต้องใช้ความรู้ด้านโรงงานมาก,20000
c3099a5fc3f3227144242d2f4a138d19,โคด ดี  789 จำกัด,เป็นงานจากการสมัครเข้า Camp,25000
ab9228222aacadbe01794dff4145e633,AAPICO,งานที่ทำเป็นงานเชิงระบบ,20000
e48261c2988073e267af176f043e4a8c,Shinmaywa M.R.M Co., Ltd.,ดูแลเอกสารเกี่ยวข้องกับการสั่งซิ้สินค้า,22000
2a7be66885ca19b18b6ef2902b812b88,ธุรกิจส่วนตัว,ทำธุรกิจทางบ้าน,60000
d9884a8b7e51e4fa8a3a0b77fb54fee6,Boost Station,หางานตรงสายแถวบ้านยาก,17000
f05bb31da215932a6751963f974b94d0,Royal Time City Co., Ltd.,สาขาตรง,22000
b63d934306c8aaba66664fe6ec41609c,,มีแนวทางของตัวเอง,100000
27f17bcae307de1bad10c108d7e5deff,แหลมทองสหการ,ตรงสายจะเป็นการวิจัย,20000
92e50ff5c7ffce7c3e3aa8733d241c66,วิทยาลัยอาชีวศึกษาธนบุรี,สอนคอมพิวเตอร์กราฟิก,15000
4b794a9bae2b133d2f37b3a0089f3bb0,ตลาดทิพย์เกสร พลาซ่า (ทำบัญชีที่บ้าน),ช่วยงานที่้บ้าน,20000
574152cae3307c7ba5e0535a155c2ca5,บ. ไทยยูรีเทนพลาสติก,สิ่งที่ทำเกี่ยวกับ resin แต่เรียนจบ material , QC ,15000
c66825363aa9d79331ad7cce50ef022a,Cotactic Media (โค-แทค-ติก) Co.,Ltd.,ค้นพบสิ่งที่ชอบมากกว่า,18000
ae104da0a7bc669e19fb760b197091aa,,เป็นกิจการส่วนของทางบ้าน,
aa50f59a09809b8525920adc964fd850,เท็นอัพ แก่งคอย,ที่ทำงานต้องการคนที่มีประสบการณ์ / ต้องการคนจบสถาป,14000
